Eclust,W1Cclust,W2Cclust,Xclust,Yclust,ERclust,ptisoR4,ptisoR4HCAL,totalptR4,y
57.70318,0.7859749,0.69492865,37.336918,-9.474918,0.3539266,3.0322423,2.0090232,5.0412655,1
102.42971,0.9723844,0.5898066,20.263777,-0.10540776,0.17810453,0.20306326,0.29715687,0.50022013,0
283.46103,2.026588,0.613146,-1.5724853,-8.433782,0.25893342,2.246143,1.6800346,3.9261776,0
134.77827,0.8039953,0.61639357,7.3788085,-15.977099,0.12576404,3.2275574,1.5337454,4.761302799999999,0
275.86768,0.6910789,0.5046967,-24.373177,-2.4001539,0.21621111,1.9418142,9.316709,11.258523199999999,0
191.10739,0.6711916,0.49899784,-35.60202,5.984388,0.19985457,0.0,0.45697775,0.45697775,1
194.25569,0.6646695,0.59408885,-4.1912823,7.16039,0.27773416,9.384119,3.881635,13.265754000000001,0
244.22281,0.85427165,0.6680418,18.566721,-10.355256,0.0,1.4298807,2.936338,4.3662187,1
61.079914,0.97477025,0.3375492,9.714317,37.94455,0.0,31.285423,32.360455,63.645878,0
172.72997,0.80362946,0.5753092,-1.614303,15.70962,0.20684707,0.71656275,5.6705484,6.387111150000001,0
215.53873,1.499999,0.9146919,-7.2413425,6.3022695,0.22331698,2.976163,3.4545133,6.4306763,1
131.47232,1.1329656,0.5654298,-1.6092,17.217098,0.2009705,1.0176712,0.32815942,1.34583062,0
371.80615,1.187392,0.6593519,3.808228,-9.866183,0.14006549,4.9480085,1.6531893,6.6011978000000004,1
103.478,0.632088,0.57246256,2.8582778,-17.575651,0.37573835,0.23679523,1.1695356,1.40633083,1
322.9416,0.7615094,0.62616926,-6.5095773,11.931001,0.16803022,4.7810283,3.3144338,8.0954621,1
321.36362,0.6688177,0.5336057,9.614611,3.9379313,0.29876208,0.07411763,2.7448342,2.81895183,1
55.522243,1.394411,0.62440073,10.051672,25.17997,0.08645059,0.077909365,0.7363586,0.814267965,0
37.37612,0.7763674,0.60532665,36.744434,-26.969753,0.0,11.9385805,2.2292988,14.167879300000001,0
147.46957,0.8092976,0.5534391,6.318104,-24.859972,0.7625414,5.092457,4.8911095,9.983566499999998,0
63.506985,0.72001183,0.5906708,41.534428,7.7988486,0.11265006,5.2963676,1.0334659,6.3298334999999994,1
161.72453,0.76223063,0.58430225,-10.763103,0.9578549,0.28476542,0.8985652,0.5455619,1.4441271,1
163.51457,0.9414877,0.62099105,-8.35955,9.677489,0.4795917,1.643598,4.3986883,6.0422863,1
213.50533,0.7024,0.63619083,1.2528558,20.92352,0.15357481,0.73651654,5.014096,5.7506125400000005,0
192.20354,0.8168838,0.6722803,4.8086896,-9.361195,0.22375673,23.914629,4.654685,28.569314000000002,1
153.09822,0.6396984,0.56545204,-14.82239,-6.647868,0.3442912,10.206855,0.894911,11.101766,1
213.39453,1.0414592,0.709431,6.439029,-3.884662,0.15962768,0.7355878,16.240555,16.9761428,1
109.247055,1.2806947,0.69712454,14.002157,-2.8231144,0.0,5.164917,3.3385231,8.5034401,0
60.031612,0.7483603,0.6015698,35.22771,3.1320312,0.0,5.761267,0.41651204,6.17777904,1
131.20183,0.8331196,0.54006505,2.0530412,-24.335245,0.27293268,1.9204552,2.4846578,4.405113,1
